,Topic,Words,Frequency,Class
0,-1,"oh, just, know, im, like",28717,female
1,0,"oh, just, im, dont, know",34377,female
2,1,"niles, oh, niless, thank, just",208,female
3,2,"leonard, leonards, okay, penny, youre",370,female
4,3,"ted, teds, marshall, girl, friend",385,female
5,4,"science, experiment, scientist, physicist, physics",161,female
6,5,"roz, noel, roger, rozs, rosita",73,female
7,6,"pam, mifflin, dunder, jim, pams",113,female
8,7,"penny, pennys, bernadette, zack, knock",114,female
9,8,"wedding, bride, ceremony, weddings, bridesmaid",287,female
10,9,"jim, jims, halpert, philly, really",143,female
11,10,"pawnee, eagleton, pawnees, commons, eagletonians",349,female
12,11,"lily, marshall, lilys, aldrin, tick",103,female
13,12,"robin, scherbatsky, robins, don, york",106,female
14,13,"smell, smells, perfume, cologne, smelling",98,female
15,14,"ring, engagement, earrings, jewelry, rings",153,female
16,15,"smoke, smoking, cigarette, smoked, cigarettes",109,female
17,16,"space, moon, astronaut, mars, astronauts",81,female
18,17,"maris, marisa, tomei, manhoodsuch, selfconfidence",11,female
19,18,"howard, howards, mother, come, christie",117,female
20,19,"marshall, marshalls, eriksen, package, baby",170,female
21,20,"raj, rajesh, rajs, howard, whispers",108,female
22,21,"eddie, eddies, la, ricky, crane",60,female
23,22,"dance, dancing, dancer, lap, dancers",115,female
24,23,"forget, remember, forgot, recall, memory",115,female
25,24,"dentist, teeth, toothbrush, tooth, dental",88,female
26,25,"scared, fear, scary, freaked, afraid",89,female
27,26,"weekend, friday, saturday, thursday, sunday",90,female
28,27,"lawyer, judge, court, law, lawsuit",75,female
29,28,"plane, airport, flight, fly, airline",91,female
30,29,"table, tables, menu, apothecary, wool",83,female
31,30,"monkey, monkeys, mugged, zoo, gorilla",81,female
32,31,"mail, email, emails, mailman, envelope",67,female
33,32,"psychiatrist, therapist, therapy, therapists, psychiatry",52,female
34,33,"fired, firing, gonna, boss, got",65,female
35,34,"tickets, ticket, extra, lobby, shoop",53,female
36,35,"sign, signs, signed, signing, signature",72,female
37,36,"big, huge, bigger, small, giant",73,female
38,37,"lamp, lights, light, bulb, lighting",69,female
39,38,"story, stories, tale, fairy, tell",63,female
40,39,"fat, pounds, weight, weigh, gained",62,female
41,40,"bernadette, bernadettes, priya, amy, ma",63,female
42,41,"bar, pub, barca, lounger, bars",64,female
43,42,"tree, trees, garden, woods, soil",58,female
44,43,"card, cards, ace, deck, spades",54,female
45,44,"ryan, ruff, ryans, chug, kelly",61,female
46,45,"hat, hats, cap, cowboy, wearing",52,female
47,46,"green, color, blue, brown, yellow",59,female
48,47,"crazy, insane, madness, hes, insanity",60,female
49,48,"tape, recorder, tapes, boom, scotch",45,female
50,49,"hug, hugs, hugging, sweet, thank",72,female
51,50,"gym, exercise, exercises, aerobics, muscles",51,female
52,51,"cookies, cookie, recipe, chocolate, chip",69,female
53,52,"proud, brave, pride, im, min",44,female
54,53,"interview, interviews, interviewing, job, interviewed",62,female
55,54,"kidding, youve, joking, god, gotta",50,female
56,55,"ready, parachute, okay, howie, 3c",56,female
57,56,"box, boxes, whats, u2, stuff",45,female
58,57,"news, rumor, bad, good, exciting",63,female
59,58,"sick, flu, sickness, avian, disease",60,female
60,59,"embarrassed, embarrassing, humiliating, humiliated, embarrass",56,female
61,60,"architect, design, arcadian, architects, architecture",42,female
62,61,"change, changed, changing, changes, things",52,female
63,62,"weird, strange, odd, ew, weirdo",52,female
64,63,"secret, secrets, tell, keeping, admirer",59,female
65,64,"surprise, surprised, shocked, surprises, big",52,female
66,65,"emma, emmas, hugsy, baby, crying",74,female
67,66,"invited, invite, invitation, inviting, wills",37,female
68,67,"candy, candies, bars, witch, neighbors",43,female
69,68,"toast, toaster, propose, french, phillip",33,female
70,69,"pills, drug, pharmaceutical, drugs, prescription",57,female
71,70,"susan, susans, carol, yye, nell",30,female
72,71,"fault, blame, liability, flawless, blaming",52,female
73,72,"pen, pencil, pens, pen1s, ink",37,female
74,73,"run, running, marathon, mile, jog",41,female
75,74,"upstairs, stairs, ramps, downstairs, flights",55,female
76,75,"cab, taxi, driver, cabs, chop",40,female
77,76,"rules, rule, ground, revised, shirtless",36,female
78,77,"massage, massages, masseuse, client, massaging",75,female
79,78,"glasses, goggles, sunglasses, contacts, graduation",43,female
80,79,"bulldog, bulldogs, briscoe, producer, regret",29,female
81,80,"bike, motorcycle, bicycle, bikes, ride",33,female
82,81,"eggs, egg, eggnog, omelet, scrambled",33,female
83,82,"newman, gimme, av, newmans, mailed",8,female
84,83,"stripper, strip, strippers, club, stripping",36,female
85,84,"garbage, trash, cans, dumpster, dump",44,female
86,85,"charity, donation, donations, donate, donating",31,female
87,86,"dunder, mifflin, dundermifflin, wallace, enemy",19,female
88,87,"flowers, roses, bouquet, flower, precious",39,female
89,88,"train, trains, banana, station, moving",21,female
90,89,"horse, pony, horses, miniature, breeder",31,female
91,-1,"im, just, know, oh, like",62750,male
92,0,"im, dont, know, just, oh",67050,male
93,1,"niles, dad, oh, just, gods",1735,male
94,2,"leonard, leonards, penny, youre, hes",602,male
95,3,"ted, teds, robin, girl, marshall",532,male
96,4,"science, theory, physics, experiment, quantum",699,male
97,5,"roz, rozs, noel, oh, listen",701,male
98,6,"pam, pams, jim, roy, mifflin",521,male
99,7,"penny, pennys, knock, im, think",517,male
100,8,"wedding, bride, ceremony, weddings, dilly",314,male
101,9,"jim, jims, halpert, jimbo, enemy",400,male
102,10,"pawnee, eagleton, pawnees, indiana, city",143,male
103,11,"lily, marshall, lilys, lil, apartment",373,male
104,12,"robin, robins, victoria, love, scherbatsky",326,male
105,13,"smell, smells, cologne, perfume, stink",309,male
106,14,"ring, rings, bracelet, engagement, jewelry",247,male
107,15,"smoke, cigarette, smoking, cigarettes, smoked",282,male
108,16,"space, moon, astronaut, nasa, astronauts",305,male
109,17,"maris, mariss, marisa, tomei, marta",360,male
110,18,"howard, howards, tap, mother, space",243,male
111,19,"marshall, marshalls, eriksen, sank, awesome",182,male
112,20,"raj, rajs, rajesh, whispers, howard",231,male
113,21,"eddie, eddies, dog, walk, dad",259,male
114,22,"dance, dancing, dancer, ballet, danced",189,male
115,23,"forget, remember, forgot, memory, memories",186,male
116,24,"dentist, teeth, toothbrush, tooth, dental",211,male
117,25,"scared, fear, scary, afraid, fears",201,male
118,26,"weekend, friday, thursday, saturday, sunday",199,male
119,27,"lawyer, judge, court, law, lawyers",212,male
120,28,"plane, airport, flight, fly, jet",186,male
121,29,"table, menu, tables, menus, foosball",175,male
122,30,"monkey, monkeys, zoo, mugged, gorilla",170,male
123,31,"mail, email, mailman, envelope, emails",180,male
124,32,"psychiatrist, therapist, therapy, psychiatry, couples",191,male
125,33,"fired, firing, youre, quit, randy",177,male
126,34,"tickets, ticket, golden, extra, bought",188,male
127,35,"sign, signed, signature, signs, signing",162,male
128,36,"big, bigger, size, small, huge",155,male
129,37,"lights, light, lamp, tools, bulb",156,male
130,38,"story, stories, mystery, tell, tale",153,male
131,39,"fat, pounds, weight, pound, weigh",148,male
132,40,"bernadette, bernadettes, ma, met, mother",140,male
133,41,"bar, bars, pub, dude, kll",131,male
134,42,"tree, trees, forest, woods, oak",129,male
135,43,"card, cards, deck, ace, wango",125,male
136,44,"ryan, temp, ryans, kelly, gosling",117,male
137,45,"hat, hats, cap, cowboy, fitted",123,male
138,46,"green, blue, color, brown, colour",116,male
139,47,"crazy, insane, madness, insanity, youre",114,male
140,48,"tape, tapes, scotch, recorder, vcr",128,male
141,49,"hug, hugs, hugging, thanks, handshake",95,male
142,50,"gym, exercise, exercises, muscles, pushups",115,male
143,51,"cookies, cookie, googi, chocolate, chip",95,male
144,52,"proud, brave, im, pride, kirby",120,male
145,53,"interview, interviewing, interviews, interviewed, interviewer",99,male
146,54,"kidding, joking, youve, gotta, youre",110,male
147,55,"ready, alright, okay, im, guys",103,male
148,56,"box, boxes, whats, opened, shadowbox",113,male
149,57,"news, rumor, bad, good, great",92,male
150,58,"sick, flu, disease, immune, sickness",94,male
151,59,"embarrassed, embarrassing, humiliating, humiliated, embarrass",98,male
152,60,"architect, architecture, design, arcadian, architects",112,male
153,61,"change, changed, changes, changing, capable",101,male
154,62,"weird, strange, odd, abnormal, weirdos",101,male
155,63,"secret, secrets, dah, tell, keeping",93,male
156,64,"surprise, surprised, shocked, surprises, brrrrrrrr",97,male
157,65,"emma, emmas, hugsy, dies, birthday",72,male
158,66,"invited, invite, invitation, inviting, uninvited",108,male
159,67,"candy, bar, candies, bars, twix",101,male
160,68,"toast, toaster, propose, french, oven",109,male
161,69,"pills, drugs, drug, prescription, medication",81,male
162,70,"susan, susans, carol, friend, carols",108,male
163,71,"fault, blame, wasnt, digging, ladies",85,male
164,72,"pen, pencil, pen1s, pens, ink",98,male
165,73,"run, marathon, running, mile, jog",92,male
166,74,"stairs, upstairs, downstairs, flights, stairwell",77,male
167,75,"cab, taxi, cabs, driver, caboose",90,male
168,76,"rules, rule, ground, alotta, follow",94,male
169,77,"massage, massages, masseuse, massaging, client",55,male
170,78,"glasses, goggles, frames, lenses, sunglasses",82,male
171,79,"bulldog, bulldogs, briscoe, rumor, miller",93,male
172,80,"bike, ride, bicycle, motorcycle, bikes",86,male
173,81,"eggs, egg, eggnog, omelet, white",85,male
174,82,"newman, newmans, ear, ukraine, newmanniun",110,male
175,83,"stripper, strip, strippers, club, pole",78,male
176,84,"garbage, trash, dumpster, dump, disposal",70,male
177,85,"charity, donation, foundation, donate, money",77,male
178,86,"dunder, mifflin, dundermifflin, infinity, wallace",88,male
179,87,"flowers, roses, flower, bouquet, precious",65,male
180,88,"train, trains, station, locomotive, gauge",83,male
181,89,"horse, pony, horses, ponies, immigrants",72,male
